flare_id,goes_class,noaa_active_region,primary_verified,secondary_verified,x_hpc,y_hpc,start_time,end_time,peak_time
4504,C2.3,11548,True,False,-848.3665193552,289.5101161961,2012-08-19 05:39:00,2012-08-19 05:47:00,2012-08-19 05:44:00
4505,B4.0,11548,True,False,-832.9642394097,284.312963185,2012-08-19 07:07:00,2012-08-19 07:14:00,2012-08-19 07:11:00
4506,B7.8,11548,True,False,-826.2806949862,334.3725773357,2012-08-19 08:23:00,2012-08-19 08:32:00,2012-08-19 08:28:00
4508,B8.8,11543,True,False,870.4745024763,359.8676649645,2012-08-19 22:43:00,2012-08-19 23:38:00,2012-08-19 23:15:00
4510,B6.7,11548,True,False,-788.3187189561,272.3783497213,2012-08-20 06:18:00,2012-08-20 07:13:00,2012-08-20 06:43:00
4517,B3.3,11552,True,False,-721.962279265,-357.4933449172,2012-08-22 01:32:00,2012-08-22 01:56:00,2012-08-22 01:45:00
4519,B6.9,11548,True,False,-433.8292342976,228.2884307348,2012-08-22 16:50:00,2012-08-22 17:08:00,2012-08-22 16:58:00
4525,B2.8,11548,True,False,-230.7179800787,185.6128721537,2012-08-23 05:18:00,2012-08-23 05:43:00,2012-08-23 05:36:00
4526,C1.7,11554,True,False,-190.5157274709,150.8088858113,2012-08-25 02:24:00,2012-08-25 02:55:00,2012-08-25 02:36:00
4527,B5.1,11554,True,False,10.2411126934,147.9727280576,2012-08-26 01:00:00,2012-08-26 01:10:00,2012-08-26 01:06:00
4529,B5.5,11558,True,False,-903.1075504452,291.1873628973,2012-08-27 00:05:00,2012-08-27 00:21:00,2012-08-27 00:18:00
4531,B7.8,11554,True,False,266.6283248008,168.8111182772,2012-08-27 06:05:00,2012-08-27 06:22:00,2012-08-27 06:12:00
4532,B9.8,11558,True,False,-902.205606313,285.5778858987,2012-08-27 08:16:00,2012-08-27 08:24:00,2012-08-27 08:21:00
4533,B7.5,11556,True,False,879.2790667965,-233.6435468834,2012-08-27 09:54:00,2012-08-27 10:38:00,2012-08-27 10:18:00
4534,B4.1,11558,True,False,-896.9986704597,277.7535264822,2012-08-27 15:19:00,2012-08-27 15:25:00,2012-08-27 15:22:00
4535,B5.6,11558,True,False,-895.9825679476,276.7339706116,2012-08-27 16:13:00,2012-08-27 16:19:00,2012-08-27 16:17:00
4536,B4.8,11558,True,False,-893.9589452215,274.9010974304,2012-08-27 17:52:00,2012-08-27 18:02:00,2012-08-27 17:56:00
4537,B3.7,11555,True,False,-676.1724918922,50.051365073,2012-08-27 19:11:00,2012-08-27 19:17:00,2012-08-27 19:15:00
4539,B6.3,11558,True,False,-889.586894881,162.4653932703,2012-08-28 03:03:00,2012-08-28 03:09:00,2012-08-28 03:07:00
4541,B5.4,11554,True,False,544.1694476137,185.6583204187,2012-08-28 18:10:00,2012-08-28 18:18:00,2012-08-28 18:14:00
4542,B3.9,11555,True,False,-491.5039523141,31.456276716,2012-08-28 19:55:00,2012-08-28 20:09:00,2012-08-28 19:58:00
4543,B9.5,11555,True,False,-527.9907537922,34.3527064526,2012-08-28 21:04:00,2012-08-28 21:16:00,2012-08-28 21:10:00
4545,B6.4,11555,True,False,-467.9590890752,29.693541848,2012-08-28 22:43:00,2012-08-28 23:05:00,2012-08-28 22:48:00
4546,B8.3,11555,True,False,-458.7094936203,29.0315333592,2012-08-28 23:50:00,2012-08-28 23:58:00,2012-08-28 23:54:00
4550,B7.9,11555,True,False,-305.9341699162,53.6501906256,2012-08-29 19:23:00,2012-08-29 19:37:00,2012-08-29 19:30:00
4553,C3.4,11554,True,False,747.0245622775,211.3061355959,2012-08-30 01:37:00,2012-08-30 01:58:00,2012-08-30 01:52:00
4555,B9.8,11554,True,False,750.1491249389,194.9976085671,2012-08-30 04:42:00,2012-08-30 04:47:00,2012-08-30 04:45:00
