flare_id,goes_class,noaa_active_region,primary_verified,secondary_verified,x_hpc,y_hpc,start_time,end_time,peak_time
7459,C2.8,11959,True,True,-786.6078082174,-341.9355603954,2014-01-20 06:21:00,2014-01-20 06:48:00,2014-01-20 06:31:00
7460,C1.3,11959,False,True,-688.5635889897,-345.6252598544,2014-01-20 17:33:00,2014-01-20 18:15:00,2014-01-20 18:00:00
7461,C3.6,11963,True,True,-892.2683742542,-84.8522159189,2014-01-20 21:39:00,2014-01-20 23:57:00,2014-01-20 22:49:00
7465,C1.2,11959,True,True,-557.8654323476,-349.2507256602,2014-01-21 22:30:00,2014-01-21 22:42:00,2014-01-21 22:36:00
7466,B8.2,11955,True,True,164.9749086784,-150.4142940543,2014-01-22 10:12:00,2014-01-22 10:24:00,2014-01-22 10:16:00
7467,B8.3,11959,True,True,-360.8251610578,-304.9733656631,2014-01-22 17:39:00,2014-01-22 17:46:00,2014-01-22 17:43:00
7468,C1.3,11955,True,True,260.6494190938,-168.7580463764,2014-01-22 18:57:00,2014-01-22 19:17:00,2014-01-22 19:05:00
7472,B6.1,11955,True,True,527.2426059774,-161.391280072,2014-01-24 04:33:00,2014-01-24 04:55:00,2014-01-24 04:42:00
7475,C1.5,11960,True,True,46.701755347,-179.1123389112,2014-01-24 23:36:00,2014-01-24 23:49:00,2014-01-24 23:44:00
7477,B7.0,11957,True,True,785.0839330754,238.4016436271,2014-01-25 13:35:00,2014-01-25 13:48:00,2014-01-25 13:41:00
7479,C1.5,11967,True,True,-945.3657704953,-234.5891695814,2014-01-26 08:26:00,2014-01-26 09:33:00,2014-01-26 08:38:00
7480,C6.1,11960,True,True,366.6595385923,-184.1353671419,2014-01-26 10:05:00,2014-01-26 10:19:00,2014-01-26 10:13:00
7483,C3.3,11967,True,True,-944.5625268503,-230.5345992806,2014-01-27 04:09:00,2014-01-27 04:21:00,2014-01-27 04:17:00
7484,C2.3,11960,False,True,529.9364444121,-174.9036290368,2014-01-27 05:19:00,2014-01-27 05:25:00,2014-01-27 05:22:00
7486,C6.0,11968,True,True,-954.653960678,178.0378327646,2014-01-27 08:07:00,2014-01-27 08:40:00,2014-01-27 08:23:00
